epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1710.75,0.48459,2.87801,1.19968,0.74514,0.82522,0.82505,0.70739,0.59627,2.58105,0.80773,5.94766e-05,5.94766e-05,5.94766e-05
2,3474.9,0.19071,1.25621,0.98111,0.85523,0.91865,0.95861,0.92171,0.31895,1.58552,0.49326,0.000117964,0.000117964,0.000117964
